,text,sentiment
129,The BT headset was such a disapoinment.,0
130,It is so small and you don't even realize that it is there after a while of getting used to it.,1
131,The accompanied software is almost brilliant.,1
132,Headset works great & was packaged nicely to avoid any damage.,1
133,!I definitly recommend!!,1
134,Buyer--Be Very Careful!!!!!.,0
135,The majority of the Logitech earbud headsets failed.,0
136,Very good stuff for the price.,1
137,My headset works just peachy-keen.,1
138,In my house I was getting dropped coverage upstairs and no coverage in my basement.,0
139,Voice recognition is tremendous!,1
140,What a waste.,0
141,During several different 2 minute calls I experienced 5 drops and it was in an area that had 5 bars.,0
142,I was not happy with this item.,0
143,very disappointed.,0
144,The phone takes FOREVER to charge like 2 to 5 hours literally.,0
145,I got this phone on reccomendation from a relative and I'm glad I did.,1
146,What a waste of time!,0
147,Its reception is very very poor.,0
148,Items stated as included from the description ARE NOT INCLUDED.,0
149,After 3 months screen just went black all of a sudden.,0
150,I Was Hoping for More.,0
151,Audio Quality is poor very poor.,0
152,I had absolutely no problem with this headset linking to my 8530 Blackberry Curve!,1
153,I know that sounds funny but to me it seemed like sketchy technology that wouldn't work well.Well this one works great.,1
154,I've bought $5 wired headphones that sound better than these.,0
155,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1
156,Nice quality build unlike some cheap s*** out there.,1
157,This item is fantastic and works perfectly!,1
158,And I just love the colors!,1
159,W810i is just SUPERB.,1
160,All I can do is whine on the Internet so here it goes.The more I use the thing the less I like it.,0
161,Great charger.,1
162,This is essentially a communications tool that does not communicate.,0
163,Works like a charm it work the same as the one I got with the phone.,1
164,I still maintain that monkeys shouldn't make headphones we just obviously don't share enough DNA to copy the design over to humans.,0
165,Great Value.,1
166,Doesn't work at all.. I bougth it for my L7c and its not working.,0
167,The look of it is very sharp and the screen is nice and clear with great graphics.,1
168,doesn't last long.,0
169,One thing I hate is the mode set button at the side.,0
170,EXCELLENT SERVICE!!!!!!!!.,1
171,Thank you for wasting my money.,0
172,How can that be?The audio quality is poor.,0
173,The iGo chargers and tips are really great.,1
174,The file browser offers all the options that one needs.Handsfree is great.,1
175,Superb Phone on a Great Network.,1
176,I connected my wife's bluetooth(Motorola HS850) to my phone and it worked like a charm whether the phone was in my pocket or the case.,1
177,I put the latest OS on it (v1.15g) and it now likes to slow to a crawl and lock up every once in a while.,0
178,It only recognizes the Phone as its storage device.,0
179,If you like a loud buzzing to override all your conversations then this phone is for you!,0
180,Don't buy this product.,0
181,I've had this bluetoooth headset for some time now and still not comfortable with the way it fits on the ear.,0
182,The sound quality is good and functionality is awesome.,1
183,I have this phone and it is a thorn in my side I really abhor it.,0
184,I recently had problems where I could not stay connected for more than 10 minutes before being disconnected.,0
185,Incredible!.,1
186,Design Flaw?.,0
187,Great phone!.,1
188,Waste of 13 bucks.,0
189,But when I check voice mail at night the keypad backlight turns off a few seconds into the first message and then I'm lost.,0
190,The replacement died in a few weeks.,0
191,Any ring tone..Overall good phone to buy..,1
192,Lately they have been extremely nice and helpful on the phone.,1
193,I have had problems wit hit dropping signal and more.,0
194,Not impressed.,0
195,Light weight I hardly notice it is there.,1
196,You'll love how thin it is.,1
197,Bad Choice.,0
198,The pleather case doesn't fit.,0
199,useless phone simply deaf.,0
200,The color is even prettier than I thought it would be and the graphics are incredibly sharp.,1
201,All in all I think it was a good investment.,1
202,It makes very strange ticking noises before it ends the call.,0
203,The best electronics of the available FM Transmitters.,1
204,Battery lasts only a few hours.,0
205,great headset very impressed - H500.,1
206,"The ""1.2"" mega pixel camera being a part of a phone is reasonably good7.",1
207,I've had this for nearly 2 years and it has worked great for me.,1
208,Good transmit audio.,1
209,We are sending it back.,0
210,I did not bother contacting the company for few dollar product but I learned the lesson that I should not have bought this form online anyway.,0
211,If you hate earbugs avoid this phone by all means.,0
212,Great price also!,1
213,The range is very decent I've been able to roam around my house with the phone in the living room with no reception/sound quality issues.,1
214,fast service.,1
215,I would highly recommend this.,1
216,I would recommend this.,1
217,"I also didn't like the ""on"" button it felt like it would crack with use.",0
218,WORST PHONE EVER.,0
219,I'm still infatuated with this phone.,1
220,Freezes frequently4.,0
221,It's kind of embarrassing to use because of how it looks and mostly it's embarrassing how child-like the company is.,0
222,Simple lightweight and great fit.,1
223,All in all I'd expected a better consumer experience from Motorola.,0
224,There's a horrible tick sound in the background on all my calls that I have never experienced before.,0
225,These are certainly very comfortable and functionality is decent.,1
226,I usually don't like headbands but this one is very lightweight & doesn't mess up my hair.,1
227,I'm a bit disappointed.,0
228,I have had this phone for over a year now and I will tell you its not that great.,0
229,I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
230,The battery is completely useless to me.,0
231,What a big waste of time.,0
232,Don't waste your $$$ on this one.,0
233,Great sound and service.,1
234,Really pleased with this product so far.,1
235,One of my favorite purchases ever.,1
236,best bluetooth on the market.,1
237,Authentic leather with nice shine and comfort .I recommend you this case !!,1
238,I was very excited to get this headset because I thought it was really cute.,1
239,Do not make the same mistake as me.,0
240,Big Disappointment with calendar sync.,0
241,the phone was unusable and was not new.,0
242,Worst Customer Service Ever.,0
243,No additional ear gels provided and no instructions whatsoever.,0
244,It defeats the purpose of a bluetooth headset.,0
245,Worth every penny.,1
246,Excellent wallet type phone case.,1
247,Nice headphones for the price and they work great!,1
248,Internet is excrutiatingly slow.,0
249,It is very comfortable to wear as well which is probably the most important aspect about using a case.,1
250,It's fits like a glove and is strong secure and durable.,1
251,O my gosh the best phone I have ever had.,1
252,It's very attractive and appears to be of good quality.,1
253,I love all the features and form factor.,1
254,This product had a strong rubber/petroleum smell that was unbearable after a while and caused me to return it,0
255,poor quality and service.,0
256,The cable looks so thin and flimsy it is scary.,0
257,Great Earpiece.,1
258,Excellent hands free tool.,1
259,Great for using with your home stereo.,1
260,Good product - incredible value.,1
261,Only had this a month but it's worked flawlessly so far.,1
262,Works great.,1
263,Absolutel junk.,0
264,THAT one didn't work either.,0
265,Battery life is real good.,1
266,Returned 8 hours later.,0
267,It's a great item.,1
268,Don't waste your money!.,0
269,Love this headset!,1
270,Not only will it drain your player but may also potentially fry it.,0
271,Worked perfectly!,1
272,Unreliable - I'm giving up.,0
273,I gave it 5 stars because of the sound quality.,1
274,Avoid this one if you can.,0
275,Reversible plug works great.,1
276,I wasted my little money with this earpiece.,0
277,Very good phone.,1
278,Best of all is the rotating feature very helpful.,1
279,Comfort for our whole family.,1
280,Good product good seller.,1
281,I love this bluetooth!,1
282,First of all it doesn't wear well.,0
283,I am very impressed with this headset from Plantronics.,1
284,I got it because it was so small and adorable.,1
285,Great phone!.,1
286,I wouldn't recommend buying this product.,0
287,Piece of Junk.,0
288,Poorly contstruct hinge.,0
289,This item is great installed it let it charged up overnite and it has been working good every since with no problems,1
290,Great Phone.,1
291,Don't buy it.,0
292,Excellent Phone.,1
293,DO NOT PURCHASE THIS PHONE.,0
294,The voice recognition thru the handset is excellent.,1
295,This is hands down the best phone I've ever had.,1
296,Works great when my cat attacked the phone he scratched the protective strip instead of destroying the screen.,1
297,This one works and was priced right.,1
298,Customer service was terrible.,0
299,Battery life still not long enough in Motorola Razor V3i.,0
300,Sending it back.,0
301,Now I know that I made a wise decision.,1
302,Someone shouldve invented this sooner.,1
303,Good price.,1
304,Everything worked on the first try.The device was certainly engineered in a clever way and the construction feels good.,1
305,I received it quickly and it works great!!,1
306,Has been working great.,1
307,As many people complained I found this headset's microphone was very weak.,0
308,My 5-year old Nokia 2160 from Tracfone holds the charge a lot better than this.,0
309,They do not care about the consumer one bit.,0
310,This is a good battery and it got here really fast.,1
311,The instruction manual is lacking.,0
312,Also its slim enough to fit into my alarm clock docking station without removing the case.,1
313,Phone now holds charge like it did when it was new.,1
314,The battery is unreliable as well as the service use antena.,0
315,It's uncomfortable and the sound quality is quite poor compared with the phone (Razr) or with my previous wired headset (that plugged into an LG).,0
316,We have gotten a lot of compliments on it.,1
317,This is definitely a must have if your state does not allow cell phone usage while driving.,1
318,I want my money back.,0
319,I love this device.,1
320,I am also very happy with the price.,1
321,I ordered this product first and was unhappy with it immediately.,0
322,The Ngage is still lacking in earbuds.,0
323,I was able to do voice dialing in the car with no problem.,1
324,I have 2-3 bars on my cell phone when I am home but you cant not hear anything.,0
325,good item low price.,1
326,However-the riingtones are not the best and neither are the games.,0
327,The plug did not work very well.,0
328,AMAZON SUCKS.,0
329,Rip off---- Over charge shipping.,0
330,VERY comfortable.,1
331,The battery is working well as a replacement for the original that came with the phone over 2 years ago.,1
332,The reception is excellent!,1
333,It fits comfortably in either ear the sound is clear and loud and the charge lasts a couple of days.,1
334,very clear quality sound and you don't have to mess with the sound on your iPod since you have the sound buttons on the headset.,1
335,1. long lasting battery (you don't have to recharge it as frequentyly as some of the flip phones)2.,0
336,Obviously there is a problem with the adhesive.,0
337,Very disappointing.,0
338,It was an inexpensive piece but I would still have expected better quality.,0
339,It is practically useless and did not add any kind of boost to my reception after I bought it.,0
340,Excellent sound quality.,1
341,Was not happy.,0
342,A PIECE OF JUNK THAT BROKE AFTER BEING ON MY PHONE FOR 2 DAYS!!!,0
343,New Battery works great in phone.,1
344,Worst customer service.,0
345,I've dropped my phone more times than I can say even on concrete and my phone is still great (knock on wood!).,1
346,Reception is terrible and full of static.,0
347,Good audio quality.,1
348,This little device has transformed my organizational capability and made my life a whole lot easier.,1
349,I was sitting in my vehicle with the cradle on my belt and the headset lost signal.,0
350,Were JERKS on the phone.,0
351,Works like a charm.. Works as advertised.,1
352,Comfortable Nice Range Good Battery Life.,1
353,Their network coverage in Los Angeles is horrible.,0
354,Excellent starter wireless headset.,0
355,The loudspeaker option is great the bumpers with the lights is very ... appealing.,0
356,The only thing that I think could improve is the sound leaks out from the headset.,0
357,First off the reception sucks I have never had more than 2 bars ever.,0
358,The phone gets EXTREMELY HOT!,0
359,The microphone also works well but (according to people I have called) it applifies everything.,1
360,Nice design and quality.,1
361,Also if your phone is dropped this case is not going to save it specially when dropped face down.,0
362,It is light easy to use and has very clear reception and transmission.,1
363,bad fit way too big.,0
364,It definitely was not as good as my S11.,1
365,awesome device.,1
366,Waste of money.,0
367,I had ordered a motorola data cable got a very well finished and working product.,1
368,Love This Phone.,1
369,I was looking for this headset for a long time and now that I've got it I couldn't be happier.,1
370,I'll be drivng along and my headset starts ringing for no reason.,0
371,Display is excellent and camera is as good as any from that year.,1
372,Battery life is also great!,1
373,The worst phone I've ever had.... Only had it for a few months.,0
374,Not a good item.. It worked for a while then started having problems in my auto reverse tape player.,0
375,This is so embarassing and also my ears hurt if I try to push the ear plug into my ear.,0
376,Protects the phone on all sides.,1
377,This is a VERY average phone with bad battery life that operates on a weak network.,0
378,Clear Skype Calls Long Battery Life Long Range.,1
379,Soyo technology sucks.,0
380,Great Hands Free Device.,1
381,you can even take self portraits with the outside (exterior) display very cool.,1
382,Same problem as others have mentioned.,0
383,After trying many many handsfree gadgets this is the one that finally works well.,1
384,Magical Help.,1
385,The worst piece of crap ever along with the Verizon customer service.,0
386,Poor sound quality.,0
387,The best phone in market :).,1
388,It worked very well.,1
389,The company shipped my product very promptly and it works well.,1
390,Exactly what I wanted.,1
391,The picture resolution is far below what other comparably-priced phones are offering today.,0
392,This is a great deal.,1
393,Excellent product I am very satisfied with the purchase.,1
394,I highly recommend these and encourage people to give them a try.,1
395,Better than you'd expect.,1
396,Using all earpieces left or right this thing will not stay on my ear.,0
397,Great product and price.,1
398,Sounds good reasonably priced and effective Its that simple !,1
399,Still Waiting...... I'm sure this item would work well.. if I ever recieve it!,0
400,what a disappointment,0
401,Very prompt service.,1
402,Excellent product for the price.,1
403,Very pleased with this headset.,1
404,don't waste your money and time.,0
405,I especially love the long battery life.,1
406,It's so stupid to have to keep buying new chargers car chargers cradles headphones and car kits every time a new phone comes out.,0
407,Works great.,1
408,Plantronics Bluetooth Excelent Buy.,1
409,I came over from Verizon because cingulair has nicer cell phones.... the first thing I noticed was the really bad service.,0
410,I'll be looking for a new earpiece.,0
411,I highly recommend this device to everyone!,1
412,Jawbone Era is awesome too!,1
413,We received a WHITE colored battery that goes DEAD after a couple hoursTHe original used to last a week - but still lasts longer than thereplacement,0
414,After a year the battery went completely dead on my headset.,0
415,I have used several phone in two years but this one is the best.,1
416,An Awesome New Look For Fall 2000!.,1
417,This is the first phone I've had that has been so cheaply made.,0
418,Att is not clear sound is very distorted and you have to yell when you talk.,0
419,The plastic breaks really easy on this clip.,0
420,Price is good too.,1
421,Don't make the same mistake I did.,0
422,Oh and I forgot to also mention the weird color effect it has on your phone.,0
423,I'm using it with an iriver SPINN (with case) and it fits fine.,1
424,Also the area where my unit broke).- I'm not too fond of the magnetic strap.,0
425,Overall I am psyched to have a phone which has all my appointments and contacts in and gets great reception.,1
426,every thing on phone work perfectly she like it.,1
427,Another note about this phone's appearance is that it really looks rather bland especially in the all black model.,0
428,IT'S REALLY EASY.,1
429,My Sanyo has survived dozens of drops on blacktop without ill effect.,1
430,Fantastic earphones.,1
431,It finds my cell phone right away when I enter the car.,1
432,Low Quality.,0
433,I highly recommend this modest priced cellular phone.,1
434,But it does get better reception and clarity than any phone I've had before.,1
435,Warning - Stay away.,0
436,I wish I could return the unit and get back my money.,0
437,Awsome Device Works Great!!.,1
438,I used to talk on it for 1 - 1 1/2 hours and the battery would be literally drained and dying.,0
439,If you don't find it too bad as again the unit comes with one earpad only.I would not recommend this to anyone.,0
440,Very Displeased.,0
441,I might have gotten a defect but I would not risk buying it again because of the built quality alone.,0
442,They made this case too small and is very difficult to install.,0
443,Restored my phone to like new performance.,1
444,I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q go figure.,1
445,I searched the Internet and found this one to be the best value.,1
446,Does not fit.,0
447,Very happy with this product.,1
448,The screen size is big key pad lit well enough and the camera quality is excellent for a camera phone.,1
449,There's really nothing bad I can say about this headset.,0
450,i'm glad i found this product on amazon it is hard to find it wasn't high priced.,1
451,Portable and it works.,1
452,My colleague & I now get great reception.A little expensive but performance is great.,1
453,I even fully charged it before I went to bed and turned off blue tooth and wi-fi and noticed that it only had 20 % left in the morning.,0
454,I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0
455,Not good when wearing a hat or sunglasses.,0
456,Timely shipment and quality product.,1
457,Nice solid keyboard.,1
458,Very well made and fits my Surefire GX2 perfectly.,1
459,Horrible phone.,0
460,BT50 battery junk!.,0
461,We would recommend these to others.,1
462,Cant get the software to work with my computer.,0
463,Disappointed!.,0
464,poor voice clarity.,0
465,The battery works great!,1
466,No buyers remorse on this one!.,0
467,Very disappointed in AccessoryOne.,0
468,I find this inexcusable and so will probably be returning this phone and perhaps changing carriers.,0
469,"Looks great and is strong.""",1
470,I have had TMobile service for 2 or 3 years now and I am pretty happy with it.,1
471,The update procedure is difficult and cumbersome.,0
472,Disappointment.. I hate anything that goes in my ear.,0
473,Great software for Motorolas.,1
474,The delivery was on time.,1
475,Very easy to use.,1
476,Uncomfortable In the Ear Don't use with LG VX9900 (EnV).,0
477,The volume switch rocketed out of the unit to a destination unknown.,0
478,It holds a charge for a long time is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.,1
479,I'd like to return it.,0
480,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,1
481,Verizon's bills however are difficult to understand even though their pricing plans are simple.,0
482,After charging overnight these batteries work great.,1
483,You won't regret it!,1
484,I love this phone!.,1
485,A Disappointment.,0
486,Its not user friendly.,0
487,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,0
488,Then I exchanged for the same phone even that had the same problem.,0
489,This results in the phone being either stuck at max volume or mute.,0
490,This PDA rocks.,1
491,It is super charged up for use as a small hybrid palmtop/camera/cellphone and excels in those roles.,1
492,I would definitely recommend the Jabra BT250v for those who are looking for comfort clarity and a great price!,1
493,I had Verizon 2 years ago and really liked their service.,1
494,Pretty piece of junk.,0
495,Plug was the wrong size.,0
496,Works as described.,1
497,Save your money.... I've had this item for 11 months now.,0
498,Bad Purchase.,0
499,WELL IM SATISFIED.,1
500,The bose noise cancelling is amazing which is very important for a NYC commuter.,1
501,This battery is an excellent bargain!,1
502,Defective crap.,0
503,I would have given no star if I was able.,0
504,I wear glasses and it fits fine with them.,1
505,The sound quality for the device is unacceptable.Unless you are in a really quiet area you almost hear nothing.,0
506,I would not recommend this item to anyone.,0
507,The holster that arrived did not match the photo in the ad.,0
508,great...no problems at all!.,1
509,As an earlier review noted plug in this charger and nothing happens.,0
510,This frog phone charm is adorable and very eye catching.,1
511,You never know if you pushed it hard enough or the right number of times for the function you want or not.,0
512,The sound is clear and the people I talk to on it are amazed at the quality too.,1
513,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,1
514,very good product well made.,1
515,Mobile Phone Tools are a must have.,1
516,I am very impressed with the job that Motorola did on the sturdiness of this phone.,1
517,I received my orders well within the shipping timeframe everything was in good working order and overall I am very excited to have this source.,1
518,The phone is sturdy and waterproof.,1
519,I am not impressed with this and i would not recommend this item to anyone.,0
520,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),0
521,Thanks again to Amazon for having the things I need for a good price!,1
522,I ended up sliding it on the edge of my pants or back pockets instead.,1
523,I had to go to a store and bought a new NOKIA phone which is working great.,1
524,Works great!.,1
525,REALLY UGLY.,0
526,horrible had to switch 3 times.,0
527,The noise shield is incrediable.,1
528,No real improvement.,0
529,Razr Battery - Good buy.,1
530,Keep up the good work Amazon!!,1
531,They refuse to refund or replace.,0
532,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,0
533,So I basically threw my money out the window for nothing.,0
534,Great case and price!,1
535,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,0
536,Bluetooth range is good - a few days ago I left my phone in the trunk got a call and carried the conversation without a hitch.,1
537,Small sleek impressive looking practical setup with ample storage in place.,1
538,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1
539,none of the new ones have ever quite worked properly.,0
540,I am glad I purchased it.,1
541,I've missed numerous calls because of this reason.,0
542,Perhaps my phone is defective but people cannot hear me when I use this.,0
543,Don't buy this product.,0
544,sucked most of the stuff does not work with my phone.,0
545,No shifting no bubbling no peeling not even a scratch NOTHING!I couldn't be more happier with my new one for the Droid.,1
546,Worst software ever used.... If I could give this zero stars I would.,0
547,Trying to make a call on these is an exercise in frustration.,0
548,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,0
549,I own a Jabra Earset and was very happy with it but the sound quality especially outgoing on this is better.,1
550,I love the camera it's really pretty good quality.,1
551,Thank you for such great service.,1
552,Its a total package.,1
553,The seller is very understanding and patient I would definitely buy from them again.,1
554,I give Wirefly 1 star.I will contact Cingular/AT&T and inform them of this practice.,0
555,It's AGGRAVATING!,0
556,Great product for the price!.,1
557,I have purchased these for both family and friends and all enjoy their clarity and ease of use,1
558,Virgin Wireless rocks and so does this cheap little phone!,1
559,None of it works just don't buy it.,0
560,Muddy low quality sound and the casing around the wire's insert was poorly super glued and slid off.,0
561,Please dont waste your money.,0
562,All in all I'm quite satisfied with this purchase.,1
563,If you are looking for a good quality Motorola Headset keep looking this isn't it.,0
564,Yet Plantronincs continues to use the same flawed charger design.,0
565,Disapointing Results.,0
566,Cumbersome design.,0
567,Great it was new packaged nice works good no problems and it came in less time then I expected!!!!,1
568,Great Product.,1
569,It's A PIECE OF CRAP!,0
570,My experience was terrible..... This was my fourth bluetooth headset and while it was much more comfortable than my last Jabra (which I HATED!!!,0
571,This fixes all the problems.,1
572,Worst ever.,0
573,I am very happy,1
574,I've had no trouble accessing the Internet downloading ringtones or performing any of the functions.,1
575,"I can barely ever hear on it and am constantly saying ""what?""",0
576,The battery life is highly unacceptable.,0
577,That company is a joke.,0
578,It does everything the description said it would.,1
579,Due to this happening on every call I was forced to stop using this headset.,0
580,It works great with a car charger especially if you cannot plug in two adapters at the same time.,1
581,Verizon tech support walked my through a few procedures none of which worked and I ended up having to do a hard re-set wiping out all my data.,0
582,Voice Quality Signal Strength Dropped Calls.,0
583,It plays louder than any other speaker of this size the price is so low that most would think the quality is lacking however it's not.,1
584,Better than expected.,1
585,It feels poorly constructed the menus are difficult to navigate and the buttons are so recessed that it is difficult to push them.,0
586,Battery is holding up well.,1
587,Also difficult to put on.I'd recommend avoiding this product.,0
588,I only used it two days and it wasn't always easy to hear with.,0
589,I got the car charger and not even after a week the charger was broken...I went to plug it in and it started smoking.,0
590,Sprint - terrible customer service.,0
591,Linked to my phone without effort.,1
592,THey are so cool!,1
593,Easy to use.,1
594,Better Than New.,1
595,What possesed me to get this junk I have no idea...,0
596,Piece of trash.,0
597,A pretty good product.,1
598,This is a great phone!.,1
599,For the price on Amazon it is an excellent product which I would highly recommend.,1
600,Their Research and Development division obviously knows what they're doing.,1
601,The real killer is the volume and of course it breaking.,0
602,Those phones are working just fine now.,1
603,I am more than happy with this product.,1
604,Poor Construction.,0
605,This is infuriating.,0
606,Overall I would recommend this phone over the new Walkman.,1
607,Sprint charges for this service.,0
608,It is cheap and it feel and look just as cheap.,0
609,It fits my ear well and is comfortable on.,1
610,It doesn't work in Europe or Asia.,0
611,clipping this to your belt will deffinitely make you feel like 50 cent's up-and-coming.,1
612,I like design and look of Jabra behing the ear headsets and 5020 is pretty comfortible to wear 24 hours a day without pain in the ear.,1
613,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1
614,the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0
615,the charger worked for about a week and then completely stopped charging my phone.,0
616,Poor product.,0
617,However I needed some better instructions.,0
618,You need two hands to operate the screen.This software interface is decade old and cannot compete with new software designs.,0
